collab_name,members
イケメン,"叶, 葛葉, 甲斐田晴"
石子持家族,"獅子堂あかり, 石神のぞみ, 倉持めると"
いずがく,"伏見ガク, 出雲霞"
いずもるる,"闇夜乃モルル, 出雲霞"
いずれ,"司賀りこ, 珠乃井ナナ, 綺沙良, 梢桃音, ルンルン"
痛面組,"桜凛月, 三枝明那, 黛灰"
いちガク,"宇志海いちご, 伏見ガク"
いちガクねこ,"宇志海いちご, 伏見ガク, 文野環"
いちから中央銀行,"緑仙, 鷹宮リオン, ベルモンド・バンデラス, 雪城眞尋, レヴィ・エリファ, 葉加瀬冬雪, 黛灰, アルス・アルマル, 相羽ういは, 天宮こころ, 早瀬走, フレン・E・ルスタリオ, 長尾景, 弦月藤士郎"
いちさんご,"ジョー・力一, 周央サンゴ"
いちご大福,"宇志海いちご, 椎名唯華"
いちごみるく海賊団,"宇志海いちご, 夕陽リリ, ヤン・ナリ, 倉持めると"
いちねこ,"宇志海いちご, 文野環"
いちひま,"宇志海いちご, 本間ひまわり"
一夜漬け,"花畑チャイカ, ローレン・イロアス, ミラン・ケストレル, 酒寄颯馬"
一期生出身,"月ノ美兎, 勇気ちひろ, える, 樋口楓, 静凛, 渋谷ハジメ, 鈴谷アキ, モイラ"
一期生の絆,"える, 樋口楓, 渋谷ハジメ"
いっぞやよエスタまめ～。,"笹木咲, 卯月コウ, リゼ・ヘルエスタ, レオス・ヴィンセント"
It’s 1ove,"魔界ノりりむ, 葉加瀬冬雪, フレン・E・ルスタリオ, レイン・パターソン"
Idios,"小清水透, 獅子堂あかり, 鏑木ろこ, 五十嵐梨花, 石神のぞみ, ソフィア・ヴァレンタイン, 倉持めると"
いでぃおすぷら部（基本）,"獅子堂あかり, 五十嵐梨花, 石神のぞみ, 倉持めると"
いぬいなみ,"戌亥とこ, 伊波ライ"
犬福,"椎名唯華, 黒井しば"
いのこり組,"椎名唯華, 鷹宮リオン, 郡道美玲"
inoししがおー！！,"長尾景, 獅子堂あかり, Shu Yamino"
いのるぱんだ,"シスター・クレア, 緑仙"
イブアン,"アンジュ・カトリーナ, イブラヒム"
いぶうるさく,"笹木咲, イブラヒム"
いやし組,"える, 葉山舞鈴, アルス・アルマル"
ILUNA,"Kyo Kaneko, Maria Marionette, Aster Arcadia, Aia Amare, Ren Zotto, Scarle Yonaguni"
インクフィッシュ,"夕陽リリ, 魔界ノりりむ, エクス・アルビオ, 魔使マオ"
!NTRO,"蜜言, 漆羽, 晴一"
introverts,"Finana Ryugu, Rosemi Lovelock, Ike Eveland"
∞4,"愛園愛美, フミ, 小清水透, 宇佐美リト"
VACHSS,"剣持刀也, 叶, 葛葉, 夢追翔, 加賀美ハヤト, 不破湊"
VΔLZ,"長尾景, 弦月藤士郎, 甲斐田晴"
VALO部@1,"夕陽リリ, 本間ひまわり, 奈羅花, 西園チグサ"
ヴァンパイア集会で会いましょう,"ギルザレンIII世, 剣持刀也, 森中花咲"
ヴィクトリー家政,"花畑チャイカ, 榊ネス, 司賀りこ"
ウィシェン,"緑仙, 相羽ういは"
ういすぴ～ど～なっつ,"相羽ういは, 北小路ヒスイ"
ういにんぐらん,"相羽ういは, 早瀬走"
ういにんグらん,"相羽ういは, 早瀬走, グウェル・オス・ガール"
ういバンゴ,"ベルモンド・バンデラス, 相羽ういは, 周央サンゴ"
ういまゆげ,"黛灰, 相羽ういは"
ういまる,"アルス・アルマル, 相羽ういは"
ヴィランズ,"ジョー・力一, ルイス・キャミー, レオス・ヴィンセント"
ういれな,"夜見れな, 相羽ういは"
wingこらぼ,"鈴谷アキ, モイラ"
ヴィンセント家,"伏見ガク, 魔界ノりりむ, 椎名唯華, 花畑チャイカ, 舞元啓介, リゼ・ヘルエスタ, 加賀美ハヤト, ローレン・イロアス, レオス・ヴィンセント"
うーちー,"勇気ちひろ, 鈴鹿詩子"
WOOMY,"Reimu Endou, Vox Akuma, Luca Kaneshiro"
上からドン★,"壱百満天原サロメ, 渡会雲雀, 伊波ライ"
ウエデター,"える, でびでび・でびる, 七海"
ウォーターポテト,"ミン・スゥーハ, ハ・ユン"
VOLTACTION,"風楽奏斗, 渡会雲雀, 四季凪アキラ, セラフ・ダズルガーデン"
UkiNagi,"四季凪アキラ, Uki Violeta"
うさちゃんクラブwithB,"神田笑一, 春崎エアル, 郡道美玲, 夢月ロア"
うしのたまもの,"宇志海いちご, 物述有栖, 文野環"
うたかざ,"鈴鹿詩子, 森中花咲"
うたでび,"鈴鹿詩子, でびでび・でびる"
うたまさ,"鈴鹿詩子, 鈴木勝"
うたみこ,"鈴鹿詩子, 竜胆尊"
うたみこバネ卍,"鈴鹿詩子, 赤羽葉子, 雪汝, 竜胆尊"
内股ガニ股,"花畑チャイカ, 社築"
撃つな,"森中花咲, えま★おうがすと, Reimu Endou"
うなぎ天丼パスタ,"鷹宮リオン, 郡道美玲, レイン・パターソン"
うなぎレンコン,"ソ・ナギ, 明楽レイ"
うにゅれそう,"ニュイ・ソシエール, 夜見れな, 相羽ういは, 早瀬走"
海こんにゃく,"でびでび・でびる, 葉山舞鈴"
海妹部,"海妹四葉, Luca Kaneshiro, Sonny Brisko"
うみゃみー,"白砂あやね, 水面まどか"
占い信じたい組,"椎名唯華, 弦月藤士郎, 宇佐美リト"
ウルイスジョー,"ジョー・力一, ルイス・キャミー"
麗しき勇者(うるゆう),"樋口楓, 文野環, ギルザレンIII世"
UNEI48,"笹木咲, 奈羅花, 先斗寧, 小清水透, 鏑木ろこ"
うんち教,"でびでび・でびる, 夜見れな, シェリン・バーガンディ, 魔使マオ"
エア景,"春崎エアル, 長尾景"
英吸不滅,"葛葉, エクス・アルビオ, 不破湊"
営業部プロセ課,"雪城眞尋, 甲斐田晴, リュ・ハリ, 司賀りこ, 五木左京"
HDMI,"葛葉, 椎名唯華, イブラヒム"
ASMR落第部,"レヴィ・エリファ, フミ, 山神カルタ, 来栖夏芽"
ACDC,"伏見ガク, アンジュ・カトリーナ, レヴィ・エリファ, ニュイ・ソシエール, グウェル・オス・ガール"
ATM,"物述有栖, 剣持刀也, 森中花咲"
Exsiv,"渋谷ハジメ, エクス・アルビオ"
XSOLEIL,"Doppio Dropscythe, Hex Haywire, Meloco Kyoran, Ver Vermillion, Kotoka Torahime"
エクレア,"える, シスター・クレア"
Ethyria,"Enna Alouette, Nina Kosaka, Reimu Endou, Millie Parfait"
S2TC,"ガオン, ナ・セラ"
SKT T1,"星弥, 八木迪之"
SSR組,"笹木咲, 星川サラ"
SSAO,"小野町春香, 三枝明那, アルス・アルマル, 早瀬走"
SF組,"夕陽リリ, 出雲霞, 黛灰"
S.B.S.P,"葉加瀬冬雪, フレン・E・ルスタリオ, 石神のぞみ, 倉持めると"
枝毛シスターズ,"月ノ美兎, 壱百満天原サロメ"
えだまめ,"ましろ爻, メリッサ・キンレンカ"
エデン海賊団,"ローレン・イロアス, レオス・ヴィンセント, オリバー・エバンス, レイン・パターソン"
エデン組,"アクシア・クローネ, ローレン・イロアス, レオス・ヴィンセント, オリバー・エバンス, レイン・パターソン"
エデン紅組,"ローレン・イロアス, レイン・パターソン"
えなかき,"える, 長尾景, 綺沙良"
EnnaMillie,"Enna Alouette, Millie Parfait"
ENIGMA,"葛葉, フレン・E・ルスタリオ, レオス・ヴィンセント, Meloco Kyoran"
NJ Destroy,"成瀬鳴, ラトナ・プティ, 奈羅花"
NPG,"風楽奏斗, Ike Eveland"
evergreen nerd,"笹木咲, 魔界ノりりむ, 社築, 卯月コウ, リゼ・ヘルエスタ"
えびいくら,"エクス・アルビオ, 伊波ライ, 倉持めると"
えびえび・えびる,"でびでび・でびる, エクス・アルビオ"
エビ仙,"緑仙, エクス・アルビオ"
エビチリ,"三枝明那, エクス・アルビオ"
えびのすめし,"エクス・アルビオ, 葉加瀬冬雪, 加賀美ハヤト, 夜見れな"
エビバディ,"エクス・アルビオ, ローレン・イロアス, 風楽奏斗, 叢雲カゲツ"
エビマル,"エクス・アルビオ, アルス・アルマル"
えまかざ,"森中花咲, えま★おうがすと"
えまふる王国,"春崎エアル, 葉山舞鈴, フミ, ルイス・キャミー"
えまンゴ,"えま★おうがすと, 周央サンゴ"
emumits,"愛園愛美, ニュイ・ソシエール, 五十嵐梨花"
ERRors,"える, 夕陽リリ, 緑仙"
ERR999,"静凛, シェリン・バーガンディ, ルイス・キャミー, ミラン・ケストレル"
えりぶり,"一橋綾人, 五木左京"
LLカニ缶,"える, 神田笑一, 春崎エアル, 愛園愛美"
えるかざ,"える, 森中花咲"
えるかざガク,"える, 伏見ガク, 森中花咲"
えるしば,"える, 黒井しば"
えるちー/サイコ組,"勇気ちひろ, える"
えるハジ,"える, 渋谷ハジメ"
エルフもヒーローになり隊,"える, 花畑チャイカ, 赤城ウェン"
えるみとの時代,"月ノ美兎, える"
えるむぎ,"える, 家長むぎ"
えるえるメロメロ,"える, Meloco Kyoran"
Electronic Rainbow Tactics(ERT),"渋谷ハジメ, 叶, 葛葉, でびでび・でびる, イブラヒム"
ErgK,"卯月コウ, ましろ爻, レオス・ヴィンセント"
演劇組,"物述有栖, 文野環, 鈴木勝, 神田笑一, でびでび・でびる, ジョー・力一, 愛園愛美, 健屋花那, えま★おうがすと, ルイス・キャミー, 魔使マオ"
Angelfeesh,"Finana Ryugu, Aia Amare"
園児組,"長尾景, 弦月藤士郎"
オアシス組,"空星きらめ, 朝日南アカネ"
OIOI,"西園チグサ, ヌン・ボラ"
追い風,"社築, 不破湊, グウェル・オス・ガール, 甲斐田晴"
桜琥春嵐,"春崎エアル, 桜凛月, 東堂コハク, 五十嵐梨花"
おうとう,"周央サンゴ, 東堂コハク"
おえかきりりむ,"える, 魔界ノりりむ, 神田笑一, 北小路ヒスイ, オリバー・エバンス"
OHK,"風楽奏斗, Bonnivier Pranaja"
OTN,"名伽尾アズマ, 花畑チャイカ, 社築"
OKA-MAO,"花畑チャイカ, 魔使マオ"
女将と亜人,"小野町春香, レヴィ・エリファ"
お給仕カルテット,"夢月ロア, 小野町春香, 愛園愛美, エリー・コニファー"
屋上組,"オリバー・エバンス, Petra Gurin, Shu Yamino"
おくちぽかんだ,"本間ひまわり, 魔界ノりりむ, 神田笑一, 西園チグサ, アクシア・クローネ"
おさいふ,"風楽奏斗, オ・ジユ, 佐伯イッテツ"
おさしみ～ん,"夢追翔, 天宮こころ, Rai Galilei, ソ・ナギ"
おしぃりぃ,"魔界ノりりむ, 椎名唯華"
おしぃりぃまわり,"本間ひまわり, 魔界ノりりむ, 椎名唯華"
おじさんじ,"叶, 不破湊, 渡会雲雀"
おじさんとねこ,"文野環, 花畑チャイカ, 社築, 舞元啓介"
おしゃクソ類人猿,"オリバー・エバンス, Meloco Kyoran"
おしゃピク,"花畑チャイカ, 社築, 戌亥とこ, フレン・E・ルスタリオ, 赤城ウェン"
お寿司大好き倶楽部,"リゼ・ヘルエスタ, 不破湊, オリバー・エバンス"
おそろしいましゃお,"笹木咲, でびでび・でびる, 葉山舞鈴, 夜見れな"
オタクキラーズ,"郡道美玲, 星川サラ"
オチャマル,"花畑チャイカ, アルス・アルマル, オ・ジユ"
おっさんゲームス,"社築, 舞元啓介"
Ottaspace,"Miyu Ottavia, Azura Cecillia"
OHHO,"アルス・アルマル, イブラヒム, ローレン・イロアス"
音ゲー師弟,"社築, エリー・コニファー"
漢組(初代),"渋谷ハジメ, 鈴谷アキ"
漢組,"渋谷ハジメ, 鈴谷アキ, 伏見ガク, ギルザレンIII世, 剣持刀也"
おとこたち,"剣持刀也, 葛葉, 加賀美ハヤト, 不破湊, イブラヒム"
おなえどし,"出雲霞, 鈴木勝, 卯月コウ"
おにいちゃんといっしょ！,"宇志海いちご, 夕陽リリ, 三枝明那, 不破湊, 風楽奏斗"
ONIPANDA,"笹木咲, ラトナ・プティ, 奈羅花"
鬼蛇組,"樋口楓, 卯月コウ, 笹木咲, 鷹宮リオン, レオス・ヴィンセント, Meloco Kyoran, ミラン・ケストレル"
鬼笑組,"竜胆尊, でびでび・でびる, ジョー・力一, 早瀬走, 不破湊"
おののみれい,"郡道美玲, 小野町春香"
おばけいさつ,"Shu Yamino, Sonny Brisko, Meloco Kyoran"
OBBK,"先斗寧, 鏑木ろこ, 立伝都々, 早乙女ベリー"
OBSYDIA,"Rosemi Lovelock, Petra Gurin"
オフロキャンセル界隈,"夢追翔, 雪城眞尋, 石神のぞみ, 緋八マナ"
おぼろぐも,"春崎エアル, 空星きらめ, 叢雲カゲツ"
#お前もう船降りなイカ？,"桜凛月, 葉山舞鈴, 奈羅花, 甲斐田晴"
お前もふわふわよいしょにしてやろうか！,"海妹四葉, ミン・スゥーハ, 早乙女ベリー, 雲母たまこ"
おめめぐみ,"司賀りこ, 珠乃井ナナ"
おもてなし組,"小野町春香, エリー・コニファー, 七瀬すず菜"
親子コラボ,"ベルモンド・バンデラス, 黒井しば"
お屋敷組,"ドーラ, シスター・クレア, 緑仙, 卯月コウ, 八朔ゆず, 鷹宮リオン, 竜胆尊, ジョー・力一"
およ家,"海妹四葉, Luca Kaneshiro, Alban Knox"
Oriens,"佐伯イッテツ, 赤城ウェン, 宇佐美リト, 緋八マナ"
おりコウ,"魔界ノりりむ, 卯月コウ"
おりひめばるつ,"フミ, 星川サラ, 山神カルタ, 長尾景, 弦月藤士郎, 甲斐田晴"
織姫星,"フミ, 星川サラ, 山神カルタ"
おれんじさんじ,"伏見ガク, 本間ひまわり, 宇佐美リト, 五十嵐梨花"
On the Trip,米汀
女の嫌なところ,"笹木咲, 椎名唯華, 郡道美玲, 御伽原江良"
おんぶにだっこ,"社築, 魔使マオ, フレン・E・ルスタリオ"
オンリーアップ組,"椎名唯華, 星川サラ, フレン・E・ルスタリオ, 叢雲カゲツ"
かいさン,"笹木咲, 鷹宮リオン, 黛灰"
解散,"赤羽葉子, 笹木咲, 椎名唯華, 緑仙"
解呪ノシ,"夕陽リリ, ラトナ・プティ, イブラヒム, 北小路ヒスイ, 風楽奏斗"
解凍かにたま,"愛園愛美, えま★おうがすと, 甲斐田晴"
灰白色花玲,"郡道美玲, 黛灰, 健屋花那"
海洋恐怖症団,"椎名唯華, 鷹宮リオン, でびでび・でびる, 石神のぞみ, Kotoka Torahime"
乖離,"夕陽リリ, 黛灰"
楓と美兎,"月ノ美兎, 樋口楓"
カエデリコ,"樋口楓, エリー・コニファー"
かえみとがびと,"月ノ美兎, 樋口楓, 伏見ガク, 剣持刀也"
かえる,"える, 樋口楓"
かえるっち,"勇気ちひろ, える, 樋口楓"
かえるりん/樋口楓クイズ/かえるん,"える, 樋口楓, 静凛"
かがみもち,"剣持刀也, 加賀美ハヤト"
楽団,"鈴木勝, エリー・コニファー, えま★おうがすと, セラフ・ダズルガーデン, 立伝都々"
ガクらん,"伏見ガク, 早瀬走"
カゲぐさ,"三枝明那, 叢雲カゲツ"
かざガク,"伏見ガク, 森中花咲"
かざとこ,"森中花咲, 戌亥とこ"
かざひま,"森中花咲, 本間ひまわり"
かざリリむぎたま,"家長むぎ, 夕陽リリ, 文野環, 森中花咲"
カシュからのグイ,"愛園愛美, レイン・パターソン, 先斗寧, 赤城ウェン"
かじゅかなきらっとおす！,"叶, 空星きらめ, レオス・ヴィンセント"
かずのこ∞,"叶, 笹木咲, 安土桃"
風ノ国,"社築, レオス・ヴィンセント, 石神のぞみ, ソフィア・ヴァレンタイン"
片目隠れズ,"健屋花那, 弦月藤士郎"
ガチ屑農家,"魔界ノりりむ, 椎名唯華, 花畑チャイカ, 舞元啓介"
花鳥牛月,"卯月コウ, 渡会雲雀"
ガッ灰,"伏見ガク, 黛灰"
カップルLINE査定委員会,"魔界ノりりむ, 卯月コウ, 鷹宮リオン, 黛灰"
華道部,"花畑チャイカ, ルイス・キャミー, フレン・E・ルスタリオ, ソフィア・ヴァレンタイン, Kotoka Torahime"
叶カンパニー,"樋口楓, 叶, 星川サラ, ローレン・イロアス"
かなえぼし,"叶, 星川サラ"
叶え葉,"叶, 赤羽葉子"
叶え葉ぐんかん,"叶, 赤羽葉子, 神田笑一, 郡道美玲"
かなしいくず,"叶, 葛葉, 椎名唯華"
かなしいな,"叶, 椎名唯華"
かなちーくず,"勇気ちひろ, 叶, 葛葉"
かなぽん斗,"先斗寧, 風楽奏斗"
かなひま,"叶, 本間ひまわり"
かなふぇあ,"叶, ふぇありす"
かなめいじー,"叶, 童田明治"
カニカマ,"花畑チャイカ, 愛園愛美"
カニハチミツ丼,"緋八マナ, 小柳ロウ, 伊波ライ"
カニやりますね,"葛葉, 舞元啓介, 成瀬鳴, アルス・アルマル, フミ"
カビババア,"魔界ノりりむ, 星川サラ"
かぶがらし,"鏑木ろこ, 五十嵐梨花"
がぶっく,"獅子堂あかり, 石神のぞみ, ソフィア・ヴァレンタイン, 倉持めると"
かぷちーの,"勇気ちひろ, ラトナ・プティ, 甲斐田晴"
がぶりえら,"童田明治, 御伽原江良"
かみなり,"神田笑一, ヤン・ナリ"
かむぽたーじゅ,"天ヶ瀬むゆ, 先斗寧, 風楽奏斗, 渡会雲雀"
かやはら姉妹,"瀬戸美夜子, 健屋花那"
唐揚げレモン,"える, 郡道美玲"
鴉,"叶, 葛葉, エクス・アルビオ, 不破湊, イブラヒム, 叢雲カゲツ"
KaRmel,"山神カルタ, 倉持めると"
カリスマ三姉妹,"静凛, 夕陽リリ, 森中花咲"
カルガモ部隊WIN,"叶, 愛園愛美, イ・ロハ"
カルテドコドコ,"える, 健屋花那"
カルピス,"伏見ガク, 山神カルタ"
かわのおしゃかな,"叶, 社築, 小野町春香, 星川サラ"
敢敢心心,七海
関西元気保安協会,"本間ひまわり, 椎名唯華"
寒色シスターズ,"夕陽リリ, 森中花咲, 黛灰, 相羽ういは"
神鳴月,"成瀬鳴, フミ, 弦月藤士郎"
きーたぜ,"北見遊征, ルンルン, 雲母たまこ"
きーぷらすなな,"珠乃井ナナ, 綺沙良"
きさまっちょ,"綺沙良, ルンルン"
きさらずべり,"綺沙良, 早乙女ベリー"
きさりこ,"司賀りこ, 綺沙良"
騎士花イ星,"健屋花那, フレン・E・ルスタリオ, 弦月藤士郎, 空星きらめ"
奇人兄弟,"ジョー・力一, ミラン・ケストレル"
GSGS,"樋口楓, 瀬戸美夜子"
きずなにじゅうまる,"える, シスター・クレア, ベルモンド・バンデラス, ヤン・ナリ"
Kismet,弥月
北チーム,"笹木咲, 社築, 神田笑一, でびでび・でびる, ベルモンド・バンデラス, 不破湊, 空星きらめ, ハ・ユン, 鏑木ろこ, 石神のぞみ, 倉持めると, ミラン・ケストレル, 榊ネス, 司賀りこ, 綺沙良, 早乙女ベリー, 雲母たまこ"
汚いレレササ,"笹木咲, レオス・ヴィンセント"
ギックリ腰トリオ,"舞元啓介, 葉山舞鈴, アルス・アルマル"
KIDS,"える, 樋口楓, 花畑チャイカ, レオス・ヴィンセント"
ギバライカ,"花畑チャイカ, 御伽原江良"
キムチで殴るぞ,"西園チグサ, ヌン・ボラ"
鬼門ズ,"東堂コハク, 北小路ヒスイ"
ぎゃうるふ,"赤城ウェン, 小柳ロウ"
Caps Lock,"レヴィ・エリファ, フミ, グウェル・オス・ガール"
GALSだとか,"樋口楓, 笹木咲, 椎名唯華, 鷹宮リオン, 不破湊, イブラヒム, ローレン・イロアス, 渡会雲雀"
ギャルと韻キャ,"石神のぞみ, 倉持めると, 赤城ウェン, 小柳ロウ"
救済しナイト★,"シスター・クレア, 星川サラ, 不破湊"
キュートメンズ海賊団,"三枝明那, 渡会雲雀, 赤城ウェン, 北見遊征"
きゅーぺっと,"竜胆尊, 鏑木ろこ, 栞葉るり, 司賀りこ"
ぎゅぎゅっと,"鷹宮リオン, でびでび・でびる, 早乙女ベリー"
Q,"奈羅花, イブラヒム, ローレン・イロアス, 獅子堂あかり, 伊波ライ"
きゅん,"赤城ウェン, 叢雲カゲツ"
狂犬ズと飼い主ズ,"町田ちま, 夢追翔, 黒井しば"
巨神王,"笹木咲, 神田笑一, 葉山舞鈴"
巨乳s,"ドーラ, 三枝明那, 早瀬走, ルイス・キャミー"
きらきら温泉,"小野町春香, 空星きらめ"
きらモインゴ,"モイラ, 空星きらめ, 周央サンゴ"
雲母部,"天宮こころ, 七瀬すず菜, 雲母たまこ"
きらンゴ,"空星きらめ, 周央サンゴ"
ぎりぎり,"リュ・ハリ, ヤン・ナリ, シン・ギル"
ギリギリ～ず,"モイラ, シスター・クレア, 加賀美ハヤト"
きるしてにぱする5秒前,"葉山舞鈴, 弦月藤士郎, 榊ネス, 雲母たまこ"
キル社会科見学,"葉加瀬冬雪, 加賀美ハヤト, 東堂コハク, 西園チグサ"
きるぜむおーる☆,"文野環, 舞元啓介, 三枝明那, フミ, 弦月藤士郎, アクシア・クローネ"
ギルとギャル,"ギルザレンIII世, 鷹宮リオン"
キルリーダー,"樋口楓, 叶, 三枝明那, ラトナ・プティ"
極肆姉妹,"鷹宮リオン, 夢追翔, ニュイ・ソシエール, 白雪巴"
銀行,"鷹宮リオン, ベルモンド・バンデラス"
